회사명,사업자등록번호,연락처,주소,대출금액,대출기간,연이율
삼성전자,123-45-67890,02-1234-5678,서울특별시 강남구 테헤란로 123,100000000,12,3.5
LG전자,234-56-78901,02-2345-6789,서울특별시 영등포구 여의대로 456,50000000,24,4.0
SK하이닉스,345-67-89012,031-123-4567,경기도 이천시 부발읍 경충대로 789,200000000,36,3.8
현대자동차,456-78-90123,02-3456-7890,서울특별시 서초구 서초대로 321,150000000,18,4.2
포스코,567-89-01234,02-4567-8901,서울특별시 중구 한강대로 654,300000000,48,3.2
네이버,678-90-12345,02-5678-9012,경기도 성남시 분당구 정자일로 987,80000000,12,5.0
카카오,789-01-23456,02-6789-0123,경기도 성남시 분당구 판교로 147,60000000,24,4.5
롯데,890-12-34567,02-7890-1234,서울특별시 송파구 올림픽로 258,120000000,30,3.7
신세계,901-23-45678,02-8901-2345,서울특별시 중구 소공로 369,90000000,18,4.3
한화,012-34-56789,02-9012-3456,서울특별시 중구 세종대로 741,250000000,60,3.0
